,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
102,83,9.906,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:11:00
103,83,13.208,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:18:00
104,83,15.24,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:24:00
105,83,18.288,0,0.0,0.0,a,1963-09-07 21:05:00,1963-09-07 22:44:00
106,83,0.0,0,0.0,0.0,a,1963-09-14 16:40:00,1963-09-14 16:40:00
107,83,7.874,0,0.0,0.0,a,1963-09-14 16:40:00,1963-09-14 16:49:00
108,83,11.684,0,0.0,0.0,a,1963-09-14 16:40:00,1963-09-14 16:52:00
109,83,14.224,0,0.0,0.0,a,1963-09-14 16:40:00,1963-09-14 16:59:00
110,83,0.0,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 16:00:00
111,83,2.794,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 16:44:00
112,83,3.302,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 17:51:00
113,83,5.588,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 17:58:00
114,83,7.62,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 18:11:00
115,83,11.43,0,0.0,0.0,a,1963-09-20 16:00:00,1963-09-20 18:23:00
116,83,0.0,0,0.0,0.0,a,1963-10-19 06:15:00,1963-10-19 06:15:00
117,83,6.35,0,2.0,0.0,a,1963-10-19 06:15:00,1963-10-19 08:30:00
118,83,0.0,0,0.0,0.0,a,1963-11-07 09:00:00,1963-11-07 09:00:00
119,83,1.016,0,0.0,0.0,a,1963-11-07 09:00:00,1963-11-07 09:46:00
120,83,2.286,0,0.0,0.0,a,1963-11-07 09:00:00,1963-11-07 09:54:00
121,83,4.318,0,0.0,0.0,a,1963-11-07 09:00:00,1963-11-07 10:31:00
122,83,6.096,0,0.0,0.0,a,1963-11-07 09:00:00,1963-11-07 11:17:00
123,83,0.0,0,0.0,0.0,a,1963-11-07 16:45:00,1963-11-07 16:45:00
124,83,1.524,0,2.0,0.0,a,1963-11-07 16:45:00,1963-11-07 17:05:00
125,83,0.0,0,0.0,0.0,a,1963-11-18 16:00:00,1963-11-18 16:00:00
126,83,1.27,0,2.0,0.0,a,1963-11-18 16:00:00,1963-11-18 16:35:00
127,83,0.0,0,0.0,0.0,a,1963-11-21 03:00:00,1963-11-21 03:00:00
128,83,0.508,0,2.0,0.0,a,1963-11-21 03:00:00,1963-11-21 03:10:00
