flume,duration_DAP,runoffVolume_DAP,runoffPeak_DAP,runEventCode,dataType,runCalc_d,startTime,endTime,preName,missingRunDAPFlag,intervalNewHr
102,41.0,4.85902,33.9344,0,a,,1974-07-28 20:15:00,1974-07-29 00:56:00,a19740728-201500,0.0,210.8
102,61.0,1.2649199999999998,8.77824,0,a,,1974-07-30 03:45:00,1974-07-30 04:46:00,a19740730-034500,,26.816666666666666
102,55.0,4.55676,21.27504,0,a,,1974-08-01 18:30:00,1974-08-01 19:25:00,a19740801-183000,,61.733333333333334
102,25.0,0.02794,0.40487599999999996,0,a,,1974-08-03 14:14:00,1974-08-03 14:39:00,a19740803-141400,,42.81666666666667
102,45.0,0.20573999999999998,1.31191,0,a,,1974-08-04 12:21:00,1974-08-04 13:06:00,a19740804-122100,,21.7
102,31.0,0.18288,1.5217139999999998,0,a,,1974-08-13 21:27:00,1974-08-13 21:58:00,a19740813-212700,,224.35
102,69.0,0.64516,3.1038799999999998,0,a,,1974-09-02 17:53:00,1974-09-02 19:02:00,a19740902-175300,,475.9166666666667
102,61.0,6.5278,42.9514,0,a,,1974-09-24 17:03:00,1974-09-24 18:04:00,a19740924-170300,,526.0166666666667
102,30.0,1.3512799999999998,14.653259999999998,1,a,,1974-10-12 12:01:00,1974-10-12 12:31:00,a19741012-120100,,425.95
102,35.0,0.79248,6.68274,1,a,,1974-10-12 19:01:00,1974-10-12 19:36:00,a19741012-190100,,6.5
102,46.0,2.4815799999999997,16.18234,1,a,,1974-10-22 12:16:00,1974-10-22 13:02:00,a19741022-121600,,232.66666666666666
102,47.0,0.44958,2.240534,1,a,,1974-10-29 07:50:00,1974-10-29 08:37:00,a19741029-075000,,162.8
102,24.0,2.01168,20.37334,0,a,,1975-07-05 17:11:00,1975-07-05 17:35:00,a19750705-171100,,5984.566666666667
102,19.0,0.3937,4.1274999999999995,0,a,,1975-07-08 18:39:00,1975-07-08 18:58:00,a19750708-183900,,73.06666666666666
102,40.0,10.82548,85.6488,0,a,,1975-07-12 16:15:00,1975-07-12 16:55:00,a19750712-161500,,93.28333333333333
102,70.0,41.29532,107.84840000000001,0,a,,1975-07-17 13:41:00,1975-07-17 14:51:00,a19750717-134100,,116.76666666666667
102,30.0,0.39877999999999997,3.429,0,a,,1975-07-23 22:11:00,1975-07-23 22:41:00,a19750723-221100,,151.33333333333334
102,20.0,0.2159,2.240534,1,a,,1975-08-22 18:02:00,1975-08-22 18:22:00,a19750822-180200,,715.35
102,34.0,0.45211999999999997,2.79908,0,a,,1975-09-03 23:48:00,1975-09-04 00:22:00,a19750903-234800,,293.43333333333334
102,62.0,2.4714199999999997,23.144479999999998,0,a,,1975-09-07 14:42:00,1975-09-07 15:44:00,a19750907-144200,,86.33333333333333
102,58.0,5.168899999999999,18.63344,0,a,,1975-09-13 16:05:00,1975-09-13 17:03:00,a19750913-160500,,144.35
102,24.0,0.09652,1.119632,0,a,,1976-08-12 16:29:00,1976-08-12 16:53:00,a19760812-162900,,8015.433333333333
102,70.0,7.0129399999999995,33.9344,0,a,,1976-09-06 15:22:00,1976-09-06 16:32:00,a19760906-152200,,598.4833333333333
102,32.0,1.53924,8.77824,0,a,,1976-09-10 17:31:00,1976-09-10 18:03:00,a19760910-173100,,96.98333333333333
102,0.0,1.016,0.0,0,a,,1976-10-24 03:50:00,1976-10-24 03:50:00,a19761024-035000,,1041.7833333333333
102,31.0,1.4300682599999999,8.498459,1,a,,1977-01-22 15:00:00,1977-01-22 15:31:00,a19770122-150000,,2171.1666666666665
102,77.0,2.02187556,11.187937999999999,1,a,,1977-06-22 12:51:00,1977-06-22 14:08:00,a19770622-125100,,3621.3333333333335
102,36.0,0.01532128,0.066421,0,a,,1977-07-04 04:50:00,1977-07-04 05:26:00,a19770704-045000,,278.7
102,24.0,1.9850709599999998,15.410002200000001,1,a,,1977-07-13 14:12:00,1977-07-13 14:36:00,a19770713-141200,,224.76666666666668
102,30.0,0.0604266,0.3151632,0,a,,1977-07-22 20:29:00,1977-07-22 20:59:00,a19770722-202900,,221.88333333333333
102,41.0,2.1788374,11.8415562,1,a,,1977-07-23 07:16:00,1977-07-23 12:11:00,a19770723-071600,0.0,10.283333333333333
102,55.0,1.9904405199999997,7.179182999999999,0,a,,1977-07-31 18:16:00,1977-07-31 19:11:00,a19770731-181600,,198.08333333333334
102,54.0,1.63708842,16.1847784,1,a,,1977-08-01 22:07:00,1977-08-01 23:01:00,a19770801-220700,,26.933333333333334
102,38.0,0.35880801999999995,2.2265639999999998,0,a,,1977-08-06 21:17:00,1977-08-06 21:55:00,a19770806-211700,,118.26666666666667
102,64.0,6.88064664,44.348552399999996,0,a,,1977-08-15 16:06:00,1977-08-15 17:10:00,a19770815-160600,,210.18333333333334
102,65.0,1.11873284,3.7738304,0,a,,1977-08-16 04:07:00,1977-08-16 05:12:00,a19770816-040700,,10.95
102,36.0,6.2995759200000006,20.376133999999997,0,a,,1977-09-01 20:15:00,1977-09-01 22:37:00,a19770901-201500,0.0,399.05
102,31.0,0.46525433999999993,4.5132752,0,a,,1977-09-05 17:16:00,1977-09-05 17:47:00,a19770905-171600,,90.65
102,18.0,24.18700268,64.71439939999999,1,a,,1977-09-26 14:47:00,1977-09-26 17:57:00,a19770926-144700,0.0,501.0
102,20.0,0.69477636,3.1067756,1,a,,1977-10-06 16:14:00,1977-10-06 18:47:00,a19771006-161400,0.0,238.28333333333333
102,45.0,0.29110431999999997,0.813689,0,a,,1977-10-09 08:58:00,1977-10-09 09:43:00,a19771009-085800,,62.18333333333333
102,35.0,1.1722658799999999,2.7951175999999998,0,a,,1978-01-17 06:58:00,1978-01-17 10:17:00,a19780117-065800,0.0,2397.25
102,58.0,2.8033141799999997,16.1847784,0,a,,1978-07-25 14:03:00,1978-07-25 15:01:00,a19780725-140300,,4539.766666666666
102,25.0,0.23412196,2.2265639999999998,0,a,,1978-07-27 00:46:00,1978-07-27 01:11:00,a19780727-004600,,33.75
102,31.0,1.24437902,13.210793999999998,0,a,,1978-07-30 18:37:00,1978-07-30 19:08:00,a19780730-183700,,89.43333333333334
102,37.0,1.39159488,9.0608658,0,a,,1978-08-01 14:58:00,1978-08-01 15:35:00,a19780801-145800,,43.833333333333336
102,22.0,0.18365215999999998,1.9691349999999999,0,a,,1978-08-18 18:15:00,1978-08-18 18:37:00,a19780818-181500,,410.6666666666667
102,44.0,0.1832864,1.1124184,0,a,,1978-09-21 18:28:00,1978-09-21 19:12:00,a19780921-182800,,815.85
102,59.0,0.32657287999999995,0.9400286,0,a,,1978-10-21 09:05:00,1978-10-21 10:04:00,a19781021-090500,,709.8833333333333
102,49.0,0.82363818,1.9691349999999999,0,a,,1978-10-23 06:08:00,1978-10-23 13:37:00,a19781023-060800,0.0,44.06666666666667
102,49.0,0.44556679999999993,1.4018768,0,a,,1978-11-24 19:09:00,1978-11-24 19:58:00,a19781124-190900,,773.5333333333333
102,33.0,0.33111186,2.361946,0,a,,1979-08-13 14:40:00,1979-08-13 15:13:00,a19790813-144000,,6282.7
102,40.0,1.6667327599999997,19.0627508,1,a,,1979-08-18 19:38:00,1979-08-18 20:18:00,a19790818-193800,,124.41666666666667
102,73.0,0.11520678,0.5202935999999999,0,a,,1979-09-16 01:35:00,1979-09-16 02:48:00,a19790916-013500,,677.2833333333333
102,13.0,0.0198628,0.2334768,0,a,,1980-07-10 16:10:00,1980-07-10 22:29:00,a19800710-161000,0.0,7165.366666666667
102,24.0,0.04697476,0.2187702,0,a,,1980-07-11 14:19:00,1980-07-11 14:43:00,a19800711-141900,,15.833333333333334
102,17.0,0.045740319999999994,0.3611626,0,a,,1980-07-12 21:51:00,1980-07-12 22:08:00,a19800712-215100,,31.133333333333333
102,17.0,0.08529319999999999,0.7986013999999999,1,a,,1980-07-25 13:46:00,1980-07-25 14:03:00,a19800725-134600,,303.6333333333333
102,21.0,0.0720598,0.5805678,1,a,,1980-07-29 13:19:00,1980-07-29 13:40:00,a19800729-131900,,95.26666666666667
102,34.0,2.2124162,18.8912754,0,a,,1980-07-30 16:08:00,1980-07-30 16:42:00,a19800730-160800,,26.466666666666665
102,10.0,0.0267335,0.33314639999999995,0,a,,1980-07-31 14:28:00,1980-07-31 14:38:00,a19800731-142800,,21.766666666666666
102,59.0,1.3294487,2.7349957999999996,0,a,,1980-08-24 15:41:00,1980-08-24 16:40:00,a19800824-154100,,577.05
